largest,oracle,peak_prob,mean_prob,prob_mass,n_components,largest_peak,largest_vol_frac,disagree,oracle_rank,cond_disagree,cond_lowconf_0.999,cond_lowconf_0.9995,cond_lowconf_0.9999,cond_nodom_0.3,cond_nodom_0.5,cond_nodom_0.7,case,threshold
0.773039069490009,0.773039069490009,0.0,0.773039069490009,0.773039069490009,4,1.0,0.6331938633193863,True,1,0.0,0.773039069490009,0.773039069490009,0.773039069490009,0.773039069490009,0.773039069490009,0.0,DUKE_338,0.99
0.0,0.8646423057128152,0.0,0.0,0.0,22,1.0,0.3359783045399759,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUKE_435,0.5
0.0,0.8794736842105263,0.0,0.0,0.0,20,1.0,0.28968014484007243,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUKE_435,0.8
0.8972064008679143,0.8972064008679143,0.0,0.0,0.8972064008679143,16,1.0,0.3074143889412504,True,1,0.0,0.8972064008679143,0.8972064008679143,0.8972064008679143,0.8972064008679143,0.0,0.0,DUKE_435,0.95
0.9112590127565169,0.9112590127565169,0.0,0.9112590127565169,0.9112590127565169,15,1.0,0.3893731838937318,True,1,0.0,0.9112590127565169,0.9112590127565169,0.9112590127565169,0.9112590127565169,0.0,0.0,DUKE_435,0.98
0.9186602870813397,0.9186602870813397,0.0,0.9186602870813397,0.9186602870813397,12,1.0,0.4850984566258648,True,1,0.0,0.9186602870813397,0.9186602870813397,0.9186602870813397,0.9186602870813397,0.0,0.0,DUKE_435,0.99
0.7222348743642298,0.7222348743642298,0.0,0.0,0.7222348743642298,13,0.99951171875,0.4991034785034068,True,1,0.0,0.7222348743642298,0.7222348743642298,0.0,0.7222348743642298,0.0,0.0,DUKE_489,0.5
0.692162649614691,0.692162649614691,0.0,0.0,0.692162649614691,10,0.99951171875,0.5164566852231663,True,1,0.0,0.692162649614691,0.692162649614691,0.0,0.692162649614691,0.692162649614691,0.0,DUKE_489,0.8
0.6021335807050093,0.6021335807050093,0.0,0.0,0.6021335807050093,8,0.99951171875,0.5774395702775291,True,1,0.0,0.6021335807050093,0.6021335807050093,0.0,0.6021335807050093,0.6021335807050093,0.0,DUKE_489,0.95
0.38411428571428574,0.38411428571428574,0.0,0.0,0.38411428571428574,14,0.99951171875,0.593452668924367,True,1,0.0,0.38411428571428574,0.38411428571428574,0.0,0.38411428571428574,0.38411428571428574,0.0,DUKE_489,0.98
0.2094542659492698,0.2094542659492698,0.0,0.0,0.2094542659492698,12,0.99951171875,0.6377224199288256,True,1,0.0,0.2094542659492698,0.2094542659492698,0.0,0.2094542659492698,0.2094542659492698,0.0,DUKE_489,0.99
0.0,0.9308035714285714,0.9308035714285714,0.9308035714285714,0.0,26,0.9990234375,0.26135945209514694,True,3,0.9308035714285714,0.0,0.9308035714285714,0.9308035714285714,0.9308035714285714,0.9308035714285714,0.9308035714285714,DUKE_491,0.5
0.0,0.9401129943502825,0.9401129943502825,0.9401129943502825,0.0,17,0.99951171875,0.24649298597194388,True,3,0.9401129943502825,0.0,0.0,0.9401129943502825,0.9401129943502825,0.9401129943502825,0.9401129943502825,DUKE_491,0.8
